n,x
8950.,8.534417404747204
9050.,0.31109685564702644
9150.,0.3220468468082479
9250.,0.3333890530736443
9300.,0.33928961957997017
9350.,14.394852586346486
9400.,15.675318161439781
9450.,17.187686106714835
9500.,-3.5912484188818117
9550.,0.3719475691415495
9600.,23.97718072821158
9650.,27.51930004260083
9700.,32.22093928679037
9750.,38.749482757044724
9800.,48.37888902102791
9850.,63.787647916464195
9900.,91.01455478490992
9950.,141.04505735846624
10000.,214.25159229710385
10050.,289.7583772166688
10100.,357.4934017792703
10150.,417.5781734048057
10200.,471.64790107948255
10250.,521.0601830932776
10300.,566.7960711030672
10350.,609.560920700321
10400.,649.8725461492255
10450.,688.1207250656257
10500.,724.6059221390578
10550.,759.5647293339612
10600.,793.1869466032412
10650.,825.627332001339
10700.,857.0138781536601
10750.,887.4537712961434
10800.,917.0377683703741
10850.,945.8434707614813
10900.,973.9378130823776
10950.,1001.3789833123213
11000.,1028.217924118007
